latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
10.08462,-0.03199,300.55,1.12,1.06,2021-12-31,0149,A,30,6.1NRT,288.76,5.7,N
10.21591,-1.12297,306.22,1.03,1.01,2021-12-31,0149,A,67,6.1NRT,290.55,8.6,N
10.23865,-1.33637,300.49,1.02,1.01,2021-12-31,0149,A,28,6.1NRT,287.98,5.2,N
10.14582,-0.9046,301.02,1.04,1.02,2021-12-31,0149,A,37,6.1NRT,289.02,5.77,N
9.7923,-0.52748,302.59,1.08,1.04,2021-12-31,0149,A,50,6.1NRT,288.38,6.93,N
9.87837,-1.33094,303.89,1.02,1.01,2021-12-31,0149,A,57,6.1NRT,291.58,6.08,N
9.53326,0.40086,301.46,1.2,1.09,2021-12-31,0149,A,41,6.1NRT,288.48,7.63,N
9.66399,-1.87467,302.21,1,1,2021-12-31,0149,A,47,6.1NRT,291.89,4.82,N
9.3893,-1.20807,323.1,1.03,1.02,2021-12-31,0149,A,100,6.1NRT,292.52,22.62,N
9.38022,-1.20942,352.03,1.03,1.02,2021-12-31,0149,A,100,6.1NRT,294.83,70.69,N
9.37882,-1.20011,312.93,1.03,1.02,2021-12-31,0149,A,86,6.1NRT,289.99,12.65,N
9.37114,-1.21078,344.14,1.03,1.02,2021-12-31,0149,A,100,6.1NRT,292.12,53.97,N
9.36974,-1.20147,313.77,1.03,1.02,2021-12-31,0149,A,88,6.1NRT,289.61,13.59,N
9.32893,-1.05471,301.14,1.04,1.02,2021-12-31,0149,A,38,6.1NRT,290.44,4.67,N
9.33765,-1.23482,300.57,1.03,1.02,2021-12-31,0149,A,30,6.1NRT,288.51,5.07,N
9.7444,-4.5326,305.98,1.15,1.07,2021-12-31,0149,A,66,6.1NRT,288.26,9.78,N
8.86748,0.7372,301.7,1.28,1.12,2021-12-31,0149,A,15,6.1NRT,288.2,5.87,N
8.86569,0.7486,342.06,1.28,1.12,2021-12-31,0149,A,100,6.1NRT,291.3,67.96,N
8.86389,0.76002,317.24,1.28,1.12,2021-12-31,0149,A,95,6.1NRT,289.27,21.92,N
8.85568,0.7469,318.05,1.28,1.12,2021-12-31,0149,A,95,6.1NRT,289.75,22.01,N
8.85387,0.75839,312.46,1.28,1.12,2021-12-31,0149,A,49,6.1NRT,289.31,15.31,N
8.84386,0.75671,306.9,1.28,1.12,2021-12-31,0149,A,17,6.1NRT,289.65,10.24,N
8.84572,0.75022,303.79,1.28,1.12,2021-12-31,0149,A,48,6.1NRT,289.27,8.23,N
8.84396,0.76174,301.1,1.28,1.12,2021-12-31,0149,A,25,6.1NRT,288.82,5.95,N
9.09693,-1.09905,313.01,1.04,1.02,2021-12-31,0149,A,86,6.1NRT,287.93,13.26,N
9.08497,-1.08163,306.62,1.05,1.02,2021-12-31,0149,A,69,6.1NRT,287.44,9.15,N
